time;face_valid;bpm
41366;1;47.6853
41400;1;47.6758
41433;1;48
41466;1;47.6853
41500;1;47.6758
41533;1;48
41566;1;47.6853
41600;1;47.6758
41633;1;48
41666;1;47.6853
41700;1;47.6758
41733;1;48
41766;1;47.6853
41800;1;47.6758
41833;1;48
41866;1;47.6853
41900;1;47.6758
41933;1;48
41966;1;47.6853
42000;1;47.6758
42033;1;48
42066;1;47.6853
42100;1;47.6758
42133;1;48
42166;1;47.6853
42200;1;47.6758
42233;1;48
42266;1;47.6853
42300;1;71.5137
42333;1;72
42366;1;71.5279
42400;1;71.5137
42433;1;72
42466;1;47.6853
42500;1;47.6758
42533;1;48
42566;1;47.6853
42600;1;47.6758
42633;1;48
42666;1;47.6853
42700;1;47.6758
42733;1;48
42766;1;47.6853
42800;1;47.6758
42833;1;48
42866;1;47.6853
42900;1;47.6758
42933;1;48
42966;1;47.6853
43000;1;47.6758
43033;1;48
43066;1;83.4492
43100;1;83.4327
43133;1;84
43166;1;83.4492
43200;1;83.4327
43233;1;84
48300;1;60
48333;1;59.6066
48366;1;59.6066
48400;1;59.5948
48433;1;60
48466;1;59.6066
48500;1;59.5948
48533;1;60
48566;1;59.6066
48600;1;59.5948
48633;1;60
48666;1;59.6066
48700;1;59.5948
48733;1;60
48766;1;59.6066
48800;1;59.5948
48833;1;60
48866;1;59.6066
48900;1;59.5948
48933;1;60
48966;1;59.6066
49000;1;59.5948
49033;1;60
49066;1;59.6066
49100;1;59.5948
49133;1;60
49166;1;59.6066
49200;1;59.5948
49233;1;60
49266;1;59.6066
49300;1;59.5948
49333;1;60
49366;1;59.6066
49400;1;59.5948
49433;1;96
49466;1;95.3706
49500;1;95.3516
49533;1;96
49566;1;95.3706
49600;1;95.3516
49633;1;96
49666;1;95.3706
49700;1;95.3516
49733;1;96
49766;1;95.3706
49800;1;95.3516
49833;1;96
49866;1;95.3706
49900;1;95.3516
49933;1;96
49966;1;95.3706
50000;1;95.3516
50033;1;96
50066;1;95.3706
50100;1;47.6758
50133;1;36
50166;1;35.764
50200;1;59.5948
50233;1;60
50266;1;59.6066
50300;1;59.5948
50333;1;60
50366;1;59.6066
50400;1;59.5948
50433;1;60
50466;1;59.6066
50500;1;59.5948
50533;1;60
50566;1;59.6066
50600;1;59.5948
50633;1;60
50666;1;59.6066
50700;1;59.5948
50733;1;60
50766;1;59.6066
50800;1;59.5948
50833;1;60
50866;1;59.6066
50900;1;59.5948
50933;1;60
50966;1;59.6066
51000;1;59.5948
51033;1;60
51066;1;59.6066
51100;1;59.5948
51133;1;60
51166;1;59.6066
51200;1;59.5948
51233;1;60
51266;1;59.6066
51300;1;59.5948
51333;1;60
51366;1;59.6066
51400;1;59.5948
51433;1;60
51466;1;59.6066
51500;1;59.5948
51533;1;60
51566;1;59.6066
51600;1;59.5948
51633;1;60
51666;1;59.6066
51700;1;59.5948
51733;1;60
51766;1;59.6066
51800;1;59.5948
51833;1;36
51866;1;35.764
51900;1;35.7569
51933;1;36
51966;1;71.5279
58500;1;72
58533;1;71.5279
58566;1;71.5279
58600;1;71.5137
58633;1;72
58666;1;71.5279
58700;1;71.5137
58733;1;72
58766;1;71.5279
58800;1;71.5137
58833;1;72
58866;1;71.5279
58900;1;71.5137
58933;1;72
58966;1;71.5279
59000;1;71.5137
59033;1;72
59066;1;71.5279
59100;1;71.5137
59133;1;72
59166;1;71.5279
